Cust_ID,Name,DOB,Salary,Balance,Loan,Attendant
30,Maureen Armstrong,3/20/1967,47341.17,4426.09,30844.24,Ivy
31,Paula Lewis,5/10/1949,54918.09,3704.29,11705.05,Marvel
32,Michael Simpson,3/10/1994,83049.23,3109.83,32907.25,Ivy
33,Sarah Wolf,10/10/1986,31007.54,900.51,38507.46,John
34,Rebecca Bright,3/12/1997,38125.08,3622.96,18536.54,John
35,Lucas White,6/12/1979,33220.18,1248.86,40266.01,John
36,Scott Hernandez,7/17/1989,32851.02,4038.65,18090.74,Marvel
37,John Johnson,1/26/1957,89882.24,1625.26,38148.78,Marvel
38,Nicholas Wilson,4/27/1973,79256.05,2376.72,2652.78,John
39,Susan Burton,2/16/1975,63192.17,2077.12,28007.07,John
40,Angela Lewis,2/14/1974,36848.39,4364.66,48506.8,Ivy
41,Nicholas Knox,10/23/1961,64413.11,1069.45,49080.99,Marvel
42,Edward Gill,4/2/1966,63143.02,3045.4,14805.88,Marvel
43,Jamie Blankenship,3/28/1956,42124.13,1139.28,22628.56,John
44,April Cabrera,1/3/1962,60369.62,3671.58,4085.92,Marvel
45,Todd Howard,8/17/1953,57895.33,4572.85,43793.72,Currie
46,Jessica Brown,10/18/1946,73109.51,2455.73,28860.04,Currie
47,Bradley Jones,6/9/1986,74456.56,2696.42,19869.93,Marvel
48,Tara Ellis,4/16/1959,33171.28,4673.4,6525.76,Currie
49,Sally Atkinson,4/11/1960,56222.88,2844.46,47391.6,Ivy
50,Chris Munoz,7/27/1959,73810.19,2694.19,26980.73,Ivy
51,James Horton,11/24/1976,65219.54,3102.48,14863.47,Marvel
52,Susan Cox,6/17/1945,89954.29,3601.53,18160.54,Currie
53,Abigail Thomas,5/24/1945,76108.55,980.98,14264.16,John
54,Dylan Monroe,10/24/1978,41405.41,4195,30488.68,Ivy
55,Jessica Lopez,9/3/1998,34939.81,2459.77,46568.22,Marvel
56,Gary Gregory,12/10/1946,74969.35,825.57,42978,John
57,Pamela Foster,4/15/1955,31855.79,4037.82,23558.66,Marvel
58,Jessica Taylor,10/19/1998,71004.29,2196.27,41498.47,Ivy
59,David Evans,3/27/1990,95816.12,951.65,21732.17,Ivy
60,Glenda Thomas,12/22/1949,70283.19,3352.01,13363.05,Currie
61,Jamie James,4/21/1966,57171.89,4460.59,49187.34,John
62,Emily Lawrence,4/17/1959,75030.18,4494.89,15890.49,Currie
63,Shaun Carr,11/24/1960,62077.7,4809.49,16862.49,John
64,Mary Smith,9/26/1984,68193.18,4404.67,49494.95,John
65,Willie Ortiz MD,4/11/1948,95902.54,509.63,7562.45,Marvel
66,Courtney Johnson,3/18/1955,57027.18,2211.09,38266.17,Ivy
67,Monica Barnes,3/27/1943,97283.34,4183.44,46854.83,John
68,Daniel Franklin,12/10/1956,93374.54,2148.14,26077.95,Marvel
69,James Stephenson,5/3/1994,43705.38,3206.97,1123.57,Currie
70,Rebecca Carpenter,10/10/1969,34855.29,3228.43,19377.89,Currie
71,Jennifer Davis,1/24/1982,37054.46,2142.61,6466.88,Marvel
72,Jennifer Delgado,11/30/1981,31275.53,4570.13,21393.2,John
73,Christopher Bell,4/30/1970,36611.01,2764.53,39711.31,Ivy
74,Martin Bradley,2/16/1959,77810.47,2591.53,22496.87,Marvel
75,Ashley Munoz,10/4/1966,34983.21,4988.81,22164.33,Ivy
76,James Burke,5/28/1949,52328.29,2720.75,28282.68,Ivy
77,Christian Yoder,5/15/1953,89141.27,1302.79,29502.84,Ivy
78,Regina Bennett,6/4/1983,31629.04,2808.81,42958.52,Ivy
79,Melissa Cook,12/20/1962,87012.79,4163.08,16109.42,John
80,Nicholas Medina,5/21/1986,49729.83,3995.87,41261.89,John
81,Peter Salazar,2/5/1977,38271.54,4048.62,28730.75,Marvel
82,Melanie Sanders,5/28/1973,78771.6,3686.11,15725.95,Ivy
83,Sabrina Smith,10/24/1993,74026,1643.98,15461.18,Ivy
84,Gregory Sanchez,8/21/1981,91423.04,4379.38,18695.74,Marvel
85,Raymond Watkins,11/22/1964,81454.97,4520.5,31511.97,Marvel
86,Angela Cox,7/23/1968,86243.67,1373.69,12309.77,Marvel
87,Nicole Brown,7/24/1957,49742.42,1087.05,46096.34,Ivy
88,Shawn Nguyen,3/7/1977,42420.77,4890.22,29170.72,Ivy
89,Richard Steele,11/28/1989,82543.03,4407.46,46080.77,Currie
90,Laurie Hernandez,7/27/2002,86478.43,4519.56,3273.81,Currie
91,Christopher Ramirez,9/12/2004,99335.36,4488.69,17787.96,Currie
92,Christopher Obrien,8/4/1990,58883.24,2937.59,2117.58,Ivy
93,Rebecca Hernandez,9/8/1947,56041.27,3408.81,14340.34,Currie
94,Heather Mason,1/26/1971,84348.91,2954.13,43238.32,Ivy
95,Thomas Phillips,11/9/1968,53856.25,730.43,2793.88,Ivy
96,Shelby Butler,11/6/1996,95153.01,3854.76,22371.21,John
97,Rachel Werner,2/23/1972,90088.89,2773.99,6760.79,Ivy
98,Felicia Blair,6/6/1945,60029.58,3414.69,21425.19,Ivy
99,Allison Hayes,3/29/1977,82560.97,2761.88,42103.73,Currie
100,Kenneth Jones,1/3/1973,82818,2713.15,31530.48,Ivy
101,Jacob Smith,7/28/2004,37218.67,1273.05,37101.06,Ivy
102,Justin Hammond,4/30/1996,93178.7,1754.21,18106.1,Currie
103,Christopher Harper,1/30/1974,65367.67,1214.84,47275.49,Ivy
104,Mark Morton DVM,2/28/1967,87852.02,1380.5,35753.84,Marvel
105,Kathleen Nelson,3/16/1958,52403.47,4878.4,21668.14,Currie
106,Jennifer Wells,10/13/1986,92686.63,1189.01,21896.78,Marvel
107,Brittany Murray,11/23/1963,57244.12,1711.72,46015.52,Currie
108,Erica Stewart,8/22/1996,30758.64,3157.65,29243.83,John
109,Andrew Strong,6/5/1949,93376.74,3245.8,35612.58,Marvel
110,Amy Johnson,8/6/1966,36390.07,1192.88,21434.73,Currie
111,Eugene Acosta,12/18/1984,52351.95,4071.73,11960.95,John
112,Stephanie Mcdonald,11/13/1952,96504.34,4033.41,36454.41,Marvel
113,Theodore Rodriguez,5/31/1983,96542.5,1567.93,30783.36,Marvel
114,Cheryl Smith,11/22/1966,70140.65,1799,25565.8,John
115,Kristin Reyes,1/17/1996,74228.6,4720.95,31577.03,Ivy
116,Christopher Reed,3/3/1987,61391.19,4215.52,11205.99,Currie
117,Laura Davis,11/11/1982,50524.75,3640.09,39903,John
118,Joshua Miller,8/15/1952,53006.52,870.05,47459.98,Ivy
119,Megan Wood,8/19/1955,77076.29,2382.19,44664.05,John
120,Joseph Lamb,3/15/1997,82666.22,3016.86,16750.35,Currie
121,Adam Hartman,1/17/1979,85410.53,1343.35,20894.28,Marvel
122,Kristen Mitchell,9/6/1994,85273.27,2517.02,40611.71,Currie
123,Carolyn Thornton,6/30/1965,36384.43,3204.62,30160.74,John
124,Joanne Hall,3/11/1968,64609.42,1973.2,27847.81,John
125,Sean Duncan,12/26/1991,34029.11,4014.25,46405.46,John
126,Mr. Matthew Harris Jr.,1/8/1971,68467.02,4282.02,27265.22,Currie
127,Brittany Pope,4/26/1951,60907.14,1956.24,26232,Ivy
128,Austin Walker,11/5/1977,92139.29,4273.96,3058.91,Ivy
129,Raymond Williams,5/24/1968,54564.05,966.09,4401.43,John
130,Erin Schmidt,4/12/1989,38194.69,4269.78,1363.6,Currie
131,Heather Larson,1/16/1969,40009.42,1187.38,45748.97,John
132,Sherry Miller,9/12/1966,83305.74,873.17,21010.95,Marvel
133,Roberto Cabrera,2/24/1950,73275.26,3387.99,23959.51,Marvel
134,Mitchell Jordan,5/1/1998,37078.59,2623.72,42423.96,Currie
135,Amber Andrews,6/20/1963,35887.48,4585.51,30853.07,Ivy
136,Nathan Acosta,3/25/1982,79067.84,2134.35,30865.58,John
137,Sharon Schmidt,11/30/1967,35093.41,1792.19,15530.19,Marvel
138,Sarah Murray,5/7/2000,87530.2,2753.31,41861.51,John
139,Lydia Cannon,1/25/1997,79436.96,2551.76,9125.67,Marvel
140,Katherine Lutz,6/5/1951,35694.41,2049.93,3604.33,Currie
141,Emily Davis,2/17/1979,35938.64,3621.84,10388.56,Currie
142,Daniel Meyer,4/19/1965,99064.77,3918.03,14119.12,Ivy
143,Mr. Walter Munoz PhD,11/25/1971,56198.96,4338.43,14833.24,Currie
144,Caitlyn Smith,7/24/1975,55944.95,4877.85,33855.17,Marvel
145,Jesse Young,2/25/1980,86895.97,1699.95,11673.4,Ivy
146,Alex Webster,1/14/1993,96307.4,3722.42,34156.26,Ivy
147,Dennis Simmons,10/26/1967,99020.07,2274.16,5465.48,Currie
148,Melissa Sanders,11/18/1996,82736.47,3546.87,8212.92,John
149,Alexander Wood,12/15/2000,56338.17,2641.92,25932.25,Marvel
150,Kevin Mason,1/20/1988,35845.05,4971.98,46172.89,Currie
151,Nathaniel Young,1/17/1974,84400.28,3780.06,43118.81,Marvel
152,Stephen English,8/5/1947,69088.3,4786.21,48468.92,John
153,Anna Reynolds,1/18/1980,59695.54,4257.36,32873.47,Marvel
154,Lisa Doyle,5/5/1955,93444.81,4563.05,34114.93,John
155,Allison Berger,7/7/1964,37783.82,4164.89,31626.13,Currie
156,Laura Schmidt,7/26/1974,64483.76,2566.22,31518.13,John
157,Danny Rice,11/7/1987,30794.76,1633.05,8208.9,Ivy
158,Robert Cervantes,10/27/1961,62806.24,2166.44,27643.21,Currie
159,Dr. Patricia Pennington,2/16/1952,33941.23,591.06,19917.33,John
160,Ashley Thornton,7/16/1991,38317.25,2857.97,22684.32,Ivy
161,Luis Owen,9/15/1950,38226.84,2772.76,26656.43,John
162,Robert Day,4/13/2001,75444.72,2863.63,7291.41,Currie
163,Jay Cox,8/24/1978,82223.14,4883.14,18614.9,Currie
164,Patricia Rowland,4/24/1966,70835.81,4601.54,4109.03,Currie
165,Stephanie Delgado,1/26/1957,97352.08,1227.71,49003.74,Currie
166,Terri Hall,12/3/1949,56240.94,2159.97,6807.87,John
167,Lynn Townsend,10/2/1951,49999.85,2407.8,13667.71,Ivy
168,Emily Coleman,2/5/1989,90801.94,2122.4,44673.35,Marvel
169,Rachel Patel,3/7/1958,45651.71,4093.23,24652.79,Currie
170,Ian Doyle,7/10/2004,97425.58,2858.17,7646.22,John
171,Alexandra Mason,5/7/1995,30850.81,3074.45,19827.3,Marvel
172,Jessica Moyer,4/18/1977,97891.52,4338.56,6677.53,Ivy
173,Kathleen Burton,1/23/1994,33021.19,4126.68,10810.58,Marvel
174,Brian Bird,4/21/1991,92380.02,1094.95,3549.46,Marvel
175,Hannah York,5/19/1953,66939.08,3712.62,22473.15,Ivy
176,David Hartman,11/12/1963,99507.54,2459.46,40525.17,John
177,David Williams,10/7/1986,35165.76,1825.92,29712.49,Marvel
178,Marilyn Gates,5/26/1961,68769.8,725.08,30710.92,John
179,Bethany Hess,8/20/1943,97851.18,2692.62,10828.62,John
180,Dawn Grant,12/8/1984,66616.85,2099.47,17850.8,John
181,Ronnie Friedman,1/7/1946,74057.9,1631.81,42416.86,Ivy
182,Mr. Jeremy Mccoy,7/16/1967,78702.41,3626.02,5304.95,Currie
183,Jeremy Jones,1/31/1965,61817.87,3962.68,43038.6,Currie
184,Olivia Crane,6/10/1991,73929.07,1601.55,24700.81,Marvel
185,Natalie Chen,9/27/1997,70902,722.51,42020.22,Marvel
186,Joshua Richardson,9/29/1967,93081.06,4319.39,16582.31,Currie
187,Ryan Bowers,9/5/1959,33181.25,544.82,17603.3,Currie
188,Rebecca James,7/25/1993,49667.42,4717.01,37828.64,Ivy
189,Mary Bryant,7/22/1958,96528.8,3324.29,39464.81,John
190,Steven Wagner,2/6/2003,92318.46,1948.31,12252.59,Currie
191,Tammy Evans,4/30/1992,61895.97,1609.15,48670.69,Ivy
192,Brandon Wagner,11/8/1981,73409.28,540.53,5140.02,Ivy
193,Rebecca Fuller,9/11/2004,49416.68,1559.62,4356.65,Currie
194,Brianna Brown,5/2/1981,43168.48,1119.78,30179.71,Ivy
195,Jason Becker,5/3/1946,62458.89,3254.75,36414.3,Marvel
196,John Hartman,1/27/1946,54734.66,1249.46,48083.42,Ivy
197,John Lawrence,5/19/1962,70855.93,2878.83,20842.34,Marvel
198,Brandon Cole,8/3/1943,35441.42,3155.52,2239.28,Ivy
199,Isaiah Espinoza,6/22/1955,98207.64,1841.19,30541.92,Currie
200,Drew Salinas,9/1/1959,99034.75,657.79,15195.11,Currie
201,Sabrina Charles,7/13/1998,78871.32,667.64,22214.41,John
202,Christy Rogers,5/31/2003,67526.75,618.56,24935,Currie
203,Jennifer Cruz,2/18/1982,51666.93,3826.06,4161.12,John
204,Chloe Ferguson,7/16/1985,86965.65,1931.04,24813.11,Currie
205,Vincent Jackson,1/16/1993,77931.18,4083.35,21889.66,John
206,Shane Burns,12/25/1979,41383.19,2442.8,35914.67,Currie
207,Denise Hahn,7/2/1987,93764.9,2538.49,32637.63,John
208,Amy Gallegos,10/26/1965,87577.61,2807.97,10075.57,Ivy
209,Erika Massey,5/30/1996,96485.99,3708.64,11100.81,John
210,Jessica Osborne,12/7/1992,80800.37,1730.76,13299.3,Marvel
211,Francisco Werner,6/22/1949,72939.06,1047.14,9768.57,Marvel
212,Laura Davis,3/20/1952,59277.01,3002.26,33203.45,Marvel
213,Richard Greene,5/15/1985,95290.99,1971.4,49727.08,Ivy
214,Aaron Ford,3/16/1964,90624.47,2491.21,32953.31,John
215,Jeffrey Mcgee,9/1/2002,33165.31,3411.26,30727.4,Marvel
216,Judy Walker,4/22/2005,31845.69,2723.57,21086.47,Ivy
217,Whitney Hamilton,6/22/1956,56352.44,3291.25,16316.43,Currie
218,Christina Burke MD,6/10/1997,86738.73,2948.9,45642.61,Currie
219,Lauren Stanley,11/17/1977,99109.33,3829.08,48481.09,Currie
220,Rachel Jones,5/27/1966,40529.18,3676.71,25342.03,John
221,Ashley Warren,4/2/1994,71589.15,2903.85,15219.82,Marvel
222,Cesar Black,3/7/1994,56662.36,3555.06,38735.99,Marvel
223,Robert Phillips,3/30/1976,97894.01,4431.02,7490.38,Marvel
224,Richard Gould DDS,4/28/1969,88948.32,2445.22,38513.82,Currie
225,Michael Walton,1/27/1975,88683.01,2357.43,41128.47,Ivy
226,Jennifer Holmes,7/6/1989,62808.52,3939.11,7120.29,John
227,Jerome Michael,7/23/1974,59037.37,3121.49,48866.21,Ivy
228,Kimberly Alexander,12/29/1997,49138.5,819.53,49290.1,Currie
229,Justin Sloan,1/2/1946,33946.28,4514.5,46899.25,Currie
230,David Castaneda,5/10/1977,90530.57,638.52,25305.71,Ivy
231,Karen Mason,11/6/1998,86903.07,3867.78,13057.63,Marvel
232,Thomas Bell,12/20/1988,99980.24,3914.57,29518.45,John
233,Abigail Massey,12/30/1975,99764.58,4789,21576.76,Ivy
234,Anne Thompson,5/6/2003,68880.22,743.6,11091.48,Currie
235,Taylor Noble,3/11/1991,83829.12,3185.86,21760.14,Marvel
236,Tracy Anderson,7/4/1971,96133.6,2425.28,33530.6,John
237,Karen Medina,9/27/1966,89475.32,1987.85,4474.75,Currie
238,Doris Scott,4/25/2005,47314.37,906.43,17337.48,Ivy
239,Nicholas Drake,11/2/1959,61538.09,3031.94,1871.95,Currie
240,Tiffany Moore,11/15/1980,39041.16,2655.68,37725.28,Currie
241,Mary Roberts,7/20/1944,96783.57,970.5,32393.87,Ivy
242,Ronald Valdez,1/7/1976,72432.22,3256.2,4070.93,John
243,Samuel Bryant,12/7/2005,46005,3820.79,48272.14,Ivy
244,Kathryn Blackwell,3/13/1997,77019.05,3952.75,2108.46,John
245,Eugene Chavez,11/19/1974,73268.98,4574.18,29908.07,Ivy
246,Meredith Sweeney,8/1/1946,55071.39,2342.62,39042.01,Currie
247,Daniel Murphy,3/31/1967,37949.03,4788.83,39606.92,John
248,Crystal Rogers MD,1/2/1959,77010.12,4394.43,2679.97,Ivy
249,Rachel Taylor,7/31/1964,66421.54,1834.26,45414.34,Ivy
250,Kenneth Barton,11/16/1986,84062.29,1216.77,46004.13,Currie
251,Scott Holmes,7/29/1973,66411.45,2459.25,28508.13,Ivy
252,Caroline Jennings,3/18/1982,89652.71,2308.54,24622.08,Marvel
253,Sabrina Nguyen DVM,4/22/1960,68633.48,3090.74,3198.51,Marvel
254,Maria Young DVM,11/19/1972,69265.66,3125.24,28535.75,John
255,Shannon Cochran,11/2/1951,91365.75,3874.94,21059.58,John
256,Yvonne Bell,7/1/1964,58243.8,2794.5,38867.51,John
257,Bryan Evans,1/26/1951,39381.07,971.7,20790.29,Marvel
258,John Stone,1/17/1949,32014.79,4362.31,34495.46,Ivy
259,Eric Douglas,12/18/1946,82859.61,1893.94,5969,Marvel
260,Laura Cook,1/6/1995,73421.67,4870.84,7514.66,Ivy
261,Courtney Davenport,1/22/1997,79285.58,1030.37,7845.8,John
262,Carly Campbell,9/10/1970,44907.49,4812.13,3230.75,Currie
263,Lauren Quinn,7/17/1963,39546,909.55,27525.11,John
264,Cody Chavez,11/25/1980,31018.13,1539.66,39904.42,Currie
265,Stephen Hanson,11/18/1962,54541.13,709.61,30910.15,Marvel
266,Patricia Barry,5/22/2000,71294.24,3673.01,29172.79,Ivy
267,Cindy Curtis,11/24/2002,57457.08,4326.34,34350.57,Marvel
268,Daniel Charles,9/20/1969,60623.24,2453.32,17642.62,Marvel
269,Christian Lawson,5/3/1971,93291.11,4678.35,18735.75,John
270,Carla Davis,12/30/1977,54377.88,3156.35,16399.23,Currie
271,Paul King,5/5/1968,65979.26,3335.03,35893.34,Marvel
272,Henry Scott,2/9/1948,84855.71,4304.39,8920.38,Marvel
273,Sally Pitts,12/23/1950,57757.99,1835.6,1638.24,Currie
274,Christopher Burke,7/8/2000,73546.07,2094.2,30213.63,Ivy
275,Robert Krueger,10/20/1989,90365.46,4576.78,47176.69,John
276,Alice Austin,6/21/1947,96466.44,4554.34,30860.99,Ivy
277,Lisa Wilson,2/22/1989,40295.14,4894.17,39363.16,Currie
278,Kevin Miller,12/19/2001,94861.13,4558.27,33966.74,Currie
279,Linda Robinson,6/11/1970,64448.14,1073.17,25374.4,Currie
280,Brandy Smith,10/10/1987,48077.11,4206.76,36201.23,John
281,Dr. Jacob Davidson DDS,3/26/1949,62139.5,2344.27,41381.1,Ivy
282,Amber Mcdonald,8/2/1997,98602.28,4958.61,12011.85,John
283,James Sheppard,2/12/1969,64483.27,2625.26,17470.39,Marvel
284,Michelle Lewis,3/25/1998,53012.61,2992.26,11962.56,Currie
285,Alfred Glass,5/21/1999,74338.06,2883.99,23156.47,Currie
286,Jasmine Wade,2/13/1982,46810.19,1947.82,44368.16,Currie
287,Kelly Hicks,10/6/1967,35310.43,837.6,17915.15,Ivy
288,Sharon Reed,5/21/1957,39021.58,4530.43,19348.88,Marvel
289,Thomas Wood,12/14/1968,38963.21,4112.04,43157.99,Ivy
290,Jose Hernandez,9/12/2000,40633.19,1127.87,26253.34,Ivy
291,Tammy Hill,3/10/1958,39717.9,3995.46,27237,Marvel
292,Joseph Rodriguez,4/28/1980,74861.23,3316.31,43179.26,Marvel
293,Adam Jones,2/6/1943,42731.61,2341.15,25035.81,Currie
294,Deborah Carney,7/12/1988,54196.71,1643.1,34396.32,Ivy
295,Robert Hampton,6/9/1969,92775.19,4368.78,5196.59,John
296,Matthew Wolfe,7/9/1969,63177.31,3650.85,9752.95,Ivy
297,James Bradley,5/5/1955,76729.04,2964.83,20814.43,Ivy
298,Daniel Frank,2/12/1952,42062.39,3243.06,25247.11,Currie
299,Mariah Rice,1/30/1963,43460.23,909.8,48320.95,Currie
300,Russell Lamb,3/19/1945,32860.8,2632.64,48561.93,Marvel
301,Cassandra Russell,1/10/1964,41825.45,1371.65,42708.66,John
302,Danny Lee,7/24/1951,49501.32,1437.73,16464.34,Ivy
303,James Parker,12/31/1990,42390.73,3475.87,48237.39,John
304,Tammy Rangel,1/25/1946,36209.18,4600.65,34777.7,Ivy
305,Jordan Hill,8/28/1962,38444.51,2316.9,20254.07,Ivy
306,Robert Swanson,5/15/1963,62254.51,1434.87,35382.07,Currie
307,Scott Dunlap,4/12/1972,44443.36,3419.36,1809.61,John
308,Kenneth Miller,10/27/1997,55498.89,4420.34,8161.58,Ivy
309,Kendra Aguilar,8/27/1969,65239.21,3867.43,41654.6,Currie
310,Melissa Gonzalez,4/6/1953,78327.64,4409.41,32633.11,John
311,Amanda Harrington,3/25/1973,32751.85,2914.5,18845.54,John
312,Anne Donovan,10/10/1975,85958.73,3883.44,25532.67,Currie
313,Nicole Fisher,1/2/2000,73953.03,1130.29,45351.97,Currie
314,Corey Shaffer,4/24/1956,35723.13,2067.24,31947.33,Marvel
315,Margaret Flynn,12/30/1991,91150.5,2252.97,20509.31,Currie
316,Emma Garcia,3/10/1987,94461.07,2800.83,6896.01,Marvel
317,Derek Higgins,4/14/1971,34275.46,4680.84,15393.59,John
318,Christine Gutierrez,7/16/1957,49381.44,4434.33,48938.67,Marvel
319,Ashley Dunlap,12/11/1963,86434.09,1105.36,22430.79,John
320,Alex Delgado,5/15/1948,82378.18,1277.55,24120.13,Marvel
321,Laura Fox,5/27/1965,42916.47,2109.38,25431.3,Marvel
322,Stephanie Holland,1/23/1970,44654.45,1808.35,44321.1,Marvel
323,Barbara Marquez,6/2/1952,55933.05,3266.47,30592.49,Marvel
324,Kathryn Kim,7/31/1984,63916.61,4562.49,34990.17,Ivy
325,Christopher Christian,12/11/1993,73277.83,4830.31,20081.26,John
326,Kaylee Hale,1/14/1960,55823.95,3441.21,2425.29,Marvel
327,Jonathan Clark,5/28/1954,62377.43,4271.72,46617.67,Ivy
328,Evan Gonzalez MD,6/7/1943,82322.97,2863.41,47507.26,John
329,Connor Horne,9/11/1947,32567.82,1437.47,47508.5,Ivy
330,William Nguyen,8/30/1960,47670.59,2861.1,47240.67,Currie
331,Melissa Mccarty,1/13/1997,79934.47,2997.87,40946.86,Marvel
332,Aaron Webb,2/16/1981,92664.48,3841.06,34545.21,Currie
333,Crystal Wilkerson,4/2/1973,65817.42,1489.47,42380.99,Marvel
334,Anna Salazar,8/28/1958,67247.94,2157.4,30426.77,Currie
335,Kenneth Reese,4/26/1956,37502.04,2138.12,7584.11,John
336,Erik Hoffman,3/24/1959,61318.87,4817.48,20169.69,Ivy
337,Theresa Oneill,10/25/2005,67283.21,2497.75,48593.45,Marvel
338,Frank Cruz MD,9/7/1993,46972.94,3897.92,18205.75,John
339,Ashley Perry,5/22/1948,48847.03,3878.65,43523.57,Ivy
340,James Hines,8/8/1965,56409.89,1694.95,5567.36,John
341,Christina Garcia,11/30/1999,31404.98,3073.41,17375.01,Ivy
342,Stephen Blackwell,1/25/1950,52545.54,4524.36,18196.71,Marvel
343,Bryan Fitzpatrick,10/12/1948,44801.36,2638.39,3528.52,Marvel
344,Michael Farley,12/27/1944,52924.81,4753.03,6835.62,Currie
345,Veronica Miles,11/26/2002,38383.35,1465.06,10465.1,Currie
346,Brandon Williams,12/25/1951,92336.91,833.72,42052.96,Currie
347,Mr. Brian Contreras,6/9/1961,71551.47,4511.54,4106.7,Marvel
348,Jessica Ward,1/22/1974,77537.16,4314.57,15636.34,Marvel
349,Traci Knight,3/20/2002,85241.99,4966.65,1498.58,Marvel
350,Jeffrey Roach,6/18/1947,64890.95,3557.27,35085.76,John
351,Jose Scott,6/16/1992,36084.42,4715.1,31394.85,John
352,Deborah Maynard,3/11/1996,67597.46,4221.27,32604.13,John
353,David Sanchez,12/28/1997,71078.88,4299.92,19344.76,Marvel
354,Steven Zavala,7/13/1967,82180.76,3061.14,11205.12,John
355,Alexis Elliott,9/1/1977,60216.17,2220.64,36295.69,John
356,Laurie Benjamin,1/2/1995,38930.62,4705.51,40744.78,Marvel
357,Kristina Conner,4/3/2003,49864.31,2444.53,7791.47,Ivy
358,Kimberly Merritt,1/30/1988,55415.76,2924.69,24854.64,John
359,Elizabeth Bridges,12/24/1952,75214.21,2507.51,13187.07,Currie
360,Linda Bradford,11/9/1949,69954.48,3041.68,9237.24,Currie
361,Gerald Young,3/10/1984,54926.77,2617.27,36981.94,Currie
362,Virginia Long,8/20/1961,99056.07,715.85,27366.75,Ivy
363,Hunter Cole,7/5/1950,72404.24,4469.22,11593.08,Marvel
364,Edward Taylor,12/8/1960,46605.88,2499.77,16190,Ivy
365,Jessica Morris,7/9/1956,37124.77,3150.25,48366.03,Ivy
366,Rodney Le,11/29/2000,40700.14,1126.35,42585.3,Currie
367,James Simmons,8/24/1997,47217.04,515.25,44117.39,Ivy
368,Deborah Anderson,2/14/2000,41247.7,1603.81,23540.59,Ivy
369,Maria Jones,11/15/1984,43059.69,3670.64,31566.56,Ivy
370,Raymond Reyes,6/15/1976,49956.66,946.38,19461.62,Marvel
371,Steven Moyer,5/5/1965,42136.15,4589.99,4807.89,Ivy
372,Timothy York,5/1/1977,92773.58,1467.6,20652.4,John
373,Chelsea Oconnell,2/12/2005,35616.36,1420.67,30105.06,Currie
374,Anna Franklin,3/7/1948,66715.8,1316.79,15070.07,Ivy
375,Mary Young,10/20/1973,58727.78,562.92,42549.58,Marvel
376,Miranda Collier,5/25/1971,98766.5,3973.12,8403.91,John
377,Richard Marshall Jr.,2/2/1981,37842.72,4437.66,18989.33,Marvel
378,Darren Brown,11/22/1997,57849.89,3263.73,7120.29,John
379,Juan Jennings,4/19/1972,97862.93,1346.9,20836.77,Marvel
380,David Meadows,11/14/2004,90585.5,1783.75,2943.4,Ivy
381,James Foley,6/9/1990,87195.04,2641.67,14354.92,Ivy
382,Carrie Ellis,9/29/1965,48053.2,4794.56,20636.03,John
383,Cheyenne Christian,3/1/1971,41962.13,1613.08,24430.1,Ivy
